# BEAST v1.7.5
# Generated Sun Apr 07 14:14:09 BST 2013 [seed=1365340446246]
state	posterior	prior	likelihood	treeLikelihood	skyline	treeModel.rootHeight	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10
0	-33100.45509680665	-11100.647036961129	-21999.80805984552	-21999.80805984552	-10935.139985091637	124.82325119521494	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0050	5.2	5.2	5.2	5.2	5.2	5.2	5.2	5.2	5.2	5.2	52.0	52.0	52.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0
25000	-16258.883618561702	-4444.286152537568	-11814.597466024134	-11814.597466024134	-4218.21704754932	160.46273843955944	4.4342646797501315	0.2816793249164448	0.2273094642099521	0.22665507499814141	0.2643561358754617	6.88840587854218E-5	29189.924214650327	6190.638624504246	2361.2127831465973	946.8274480796338	1596.0865026591646	915.11338980972	1499.6925815132026	864.8780912391693	624.3371976404302	246.19221848291437	29.0	47.0	48.0	39.0	56.0	80.0	41.0	76.0	54.0	43.0
50000	-15678.381027407337	-4706.268747992554	-10972.112279414781	-10972.112279414781	-4475.536087987248	171.67935615849714	5.2919852173870545	0.33597546951802526	0.19353723958266045	0.21593276649846369	0.2545545244008507	3.8872129168426785E-5	53116.4926857611	11581.884705690525	3710.4118507585526	2255.40343025049	3311.001531573715	2568.550298633347	1727.2144831471712	1562.1092236967067	482.0547123047541	169.6181350793376	22.0	40.0	53.0	21.0	69.0	115.0	50.0	57.0	59.0	27.0
75000	-15402.28667946388	-4843.525621267439	-10558.76105819644	-10558.76105819644	-4607.860010863804	211.58311078993185	5.4250453565058825	0.36795735192871437	0.186360930096317	0.20080779816899774	0.24487391980597106	2.5496196884024327E-5	116369.4352752861	32175.860676813292	5933.6602463746585	10991.028912143867	4494.614278477634	3839.4465283143263	1153.3304418099071	1579.5357840162635	422.7698799272498	77.58299343701752	14.0	27.0	70.0	12.0	74.0	121.0	68.0	55.0	56.0	16.0
100000	-14842.581715045095	-4670.347036095536	-10172.234678949559	-10172.234678949559	-4435.4353090894365	146.9473104180874	6.130296050606611	0.36983953319533186	0.18004131140434612	0.20946147643225868	0.24065767896806348	3.168739120526723E-5	103469.61058963112	56101.768943834824	7362.642051652281	1281.7801371110972	4454.863547766359	2210.76678617404	802.5908173469942	1517.7418835977164	349.4368128775617	78.57104015356362	12.0	20.0	69.0	1.0	65.0	143.0	85.0	43.0	54.0	21.0
125000	-14277.093881093097	-4359.3039407721635	-9917.789940320934	-9917.789940320934	-4130.736594812719	64.99857975138598	8.002022561051048	0.37033886346860034	0.17212019008810078	0.20345787208083796	0.2540830743624612	5.052527241626883E-5	107831.5983171661	22627.86837975843	5368.171368813374	1468.3183266649194	2484.656823705854	1339.5848762910675	513.8798186642135	770.628755739783	117.36553633389545	8.65730017468342	6.0	17.0	64.0	17.0	67.0	145.0	88.0	40.0	54.0	15.0
150000	-13929.688799224095	-4176.570814541475	-9753.117984682622	-9753.117984682622	-3950.982325441083	42.71101547240645	7.469395468248571	0.37969358692101407	0.18567241826786285	0.18966898961270837	0.244965005198415	6.751073600411549E-5	26459.91317957317	46483.32546378931	5069.8530511316485	1237.4639867576727	2280.6433283799515	780.5616632601912	394.5900573415866	454.2649782713533	85.09734971503913	9.89158876925293	2.0	17.0	60.0	29.0	54.0	160.0	89.0	35.0	55.0	12.0
175000	-13710.196612528041	-4117.153515368028	-9593.043097160014	-9593.043097160014	-3892.2711788926595	42.0526332399026	6.59361286099041	0.363966138916272	0.1766998549523042	0.19678236405631133	0.2625516420751129	6.976941898895332E-5	37053.307476245966	37953.75628879186	4277.483973388323	2842.0041814530077	1249.6896373555733	834.450222839111	150.46631821452834	366.23289801923534	113.72235444286618	23.674693194440025	10.0	12.0	48.0	41.0	58.0	159.0	85.0	33.0	51.0	16.0
200000	-13541.113844993308	-4125.229339202233	-9415.884505791075	-9415.884505791075	-3900.264424827034	44.62989694185357	7.1685275646727655	0.37723775482959915	0.171962994588039	0.1911037614023983	0.25969548917996405	6.299824909644652E-5	40180.863368882885	38469.24087327852	4564.640969594998	2391.4794054929357	1616.9299010935315	908.0963684565687	258.92260195876827	340.2151115426671	138.0042971543422	10.486503170487875	7.0	13.0	51.0	32.0	67.0	139.0	94.0	41.0	53.0	16.0
225000	-13527.764160913888	-4295.578409576166	-9232.185751337722	-9232.185751337722	-4068.403972610315	53.510698979425904	6.378136689072124	0.3692432534125558	0.18369270155253842	0.19138098383755497	0.25568306119735124	4.9729705987218336E-5	27775.385848010486	60792.27179382648	5494.144998161658	3344.8521358496264	2008.7366032754812	1228.4228937513972	484.8011435329296	205.82057531908382	211.58476711553075	11.56602582207142	14.0	11.0	48.0	38.0	72.0	130.0	98.0	43.0	46.0	13.0
